state,locality_type,household_size,income_bracket,e-literacy_level,total_devices_owned,avg_device_age_years,broken_devices_stored,upgrade_tendency,disposal_method,recycling_awareness,ewaste_kg_per_year
Telangana,Urban,5,Middle,Basic,14,3.6,0,Medium,Sold to Kabadiwala/Scrap Dealer,Low,4.62
Telangana,Urban,6,Middle,Intermediate,8,4.0,2,Medium,Stored Indefinitely,Low,0.0
Rajasthan,Urban,3,Upper-Middle,Advanced,16,3.4,0,Medium,Formal E-Waste Collection,Low,6.61
Haryana,Rural,6,Middle,Basic,10,7.0,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,1.09
Jharkhand,Urban,6,Middle,Advanced,13,3.9,2,Medium,Stored Indefinitely,Medium,0.0
Telangana,Rural,5,Upper-Middle,Basic,18,4.8,1,Medium,Sold to Kabadiwala/Scrap Dealer,Low,3.13
Delhi,Urban,3,Upper-Middle,Intermediate,21,2.6,0,High,Sold to Kabadiwala/Scrap Dealer,High,13.65
Gujarat,Urban,6,Low,Basic,5,7.0,2,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Odisha,Urban,7,Low,Basic,10,7.5,2,Low,Thrown in General Trash,Low,0.0
West Bengal,Rural,6,Low,Basic,6,9.3,2,Low,Gave away for reuse,Low,0.0
Jharkhand,Urban,5,Low,Basic,9,7.7,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Bihar,Rural,4,Upper-Middle,Basic,15,4.4,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,1.51
Andhra Pradesh,Rural,6,Low,Basic,6,8.4,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Madhya Pradesh,Rural,5,Middle,Basic,7,5.5,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.76
Jharkhand,Rural,7,Low,Basic,8,6.6,2,Low,Stored Indefinitely,Low,0.0
Karnataka,Urban,5,Low,Basic,8,6.6,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.82
Madhya Pradesh,Urban,6,Low,Basic,7,6.2,0,Low,Stored Indefinitely,Low,0.0
Jharkhand,Urban,7,Low,Basic,8,5.6,1,Low,Formal E-Waste Collection,Low,0.16
Haryana,Rural,5,Low,Basic,5,7.3,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Gujarat,Urban,2,High,Advanced,19,2.9,0,High,Sold to Kabadiwala/Scrap Dealer,High,9.31
Haryana,Rural,6,Middle,Basic,7,6.7,2,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Andhra Pradesh,Urban,4,Middle,Basic,8,4.2,1,Medium,Sold to Kabadiwala/Scrap Dealer,Low,0.73
Delhi,Rural,3,Upper-Middle,Basic,17,4.8,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,2.56
Uttar Pradesh,Urban,7,Low,Basic,9,6.8,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.74
Punjab,Urban,7,Low,Basic,6,6.0,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.7
Delhi,Urban,5,Middle,Intermediate,11,4.9,1,Medium,Sold to Kabadiwala/Scrap Dealer,High,1.72
Punjab,Rural,8,Low,Basic,4,9.5,3,Low,Formal E-Waste Collection,Low,0.0
Uttar Pradesh,Rural,6,Low,Basic,4,7.1,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.36
Andhra Pradesh,Urban,2,High,Advanced,26,1.9,0,High,Sold to Kabadiwala/Scrap Dealer,Medium,20.97
Rajasthan,Urban,7,Low,Basic,9,5.7,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,1.17
Kerala,Rural,5,Low,Basic,4,6.9,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.32
Odisha,Urban,6,Middle,Intermediate,14,4.4,1,Medium,Stored Indefinitely,Medium,0.0
West Bengal,Urban,6,Low,Basic,8,5.9,0,Low,Stored Indefinitely,Low,0.0
Maharashtra,Rural,7,Low,Basic,4,8.4,1,Low,Formal E-Waste Collection,Low,0.0
Jharkhand,Rural,5,Upper-Middle,Basic,13,4.5,1,Medium,Thrown in General Trash,Low,2.96
West Bengal,Urban,4,Middle,Intermediate,13,5.4,1,Medium,Stored Indefinitely,Low,0.0
Odisha,Urban,5,Upper-Middle,Intermediate,16,3.2,0,Medium,Stored Indefinitely,High,0.0
Odisha,Rural,7,Low,Basic,4,9.1,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Telangana,Rural,3,Upper-Middle,Basic,14,4.0,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,1.7
Rajasthan,Rural,6,Middle,Basic,5,5.1,2,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Rajasthan,Rural,6,Low,Basic,5,7.7,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.47
Kerala,Urban,5,Low,Basic,11,7.3,1,Low,Thrown in General Trash,Low,0.19
Odisha,Urban,5,Low,Basic,11,7.5,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.99
Rajasthan,Rural,4,Middle,Basic,7,6.9,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.67
Telangana,Urban,4,Middle,Intermediate,11,4.0,1,Medium,Formal E-Waste Collection,Low,2.14
Telangana,Urban,5,Low,Basic,5,6.5,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.48
Delhi,Urban,6,Middle,Intermediate,9,4.5,2,Medium,Stored Indefinitely,High,0.0
Madhya Pradesh,Urban,8,Low,Basic,5,7.4,3,Low,Stored Indefinitely,Low,0.0
Kerala,Rural,4,Middle,Basic,4,5.4,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
West Bengal,Urban,7,Low,Basic,5,6.1,2,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Kerala,Urban,4,Upper-Middle,Advanced,15,3.6,1,High,Stored Indefinitely,Low,0.0
Andhra Pradesh,Urban,6,Low,Basic,11,7.3,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.84
Bihar,Urban,7,Low,Basic,9,7.2,2,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Uttar Pradesh,Rural,7,Low,Basic,7,8.3,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.45
Rajasthan,Urban,7,Low,Basic,10,7.4,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.9
Punjab,Rural,4,Upper-Middle,Basic,18,4.8,0,Low,Formal E-Waste Collection,Low,2.32
Uttar Pradesh,Urban,6,Low,Basic,5,5.1,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.5
Tamil Nadu,Rural,4,Middle,Basic,7,5.1,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.89
Gujarat,Urban,4,Middle,Intermediate,14,5.2,1,Medium,Sold to Kabadiwala/Scrap Dealer,Low,2.58
Odisha,Rural,6,Middle,Basic,9,6.0,2,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Madhya Pradesh,Rural,3,Upper-Middle,Basic,8,4.3,0,Low,Thrown in General Trash,Low,1.26
Punjab,Rural,6,Low,Basic,4,7.7,2,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
West Bengal,Urban,8,Low,Basic,10,5.4,0,Low,Thrown in General Trash,Low,0.93
West Bengal,Urban,6,Low,Basic,5,5.9,0,Low,Thrown in General Trash,Low,0.43
Haryana,Urban,7,Low,Basic,11,5.1,2,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Telangana,Urban,5,Middle,Basic,8,4.1,0,Medium,Sold to Kabadiwala/Scrap Dealer,High,2.27
Delhi,Urban,7,Low,Basic,9,6.3,1,Low,Stored Indefinitely,Low,0.0
Maharashtra,Rural,8,Low,Basic,6,7.4,3,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Uttar Pradesh,Urban,4,Middle,Intermediate,8,5.2,0,Medium,Sold to Kabadiwala/Scrap Dealer,Low,1.74
Kerala,Urban,6,Middle,Intermediate,9,4.6,2,Medium,Formal E-Waste Collection,Low,0.78
Gujarat,Urban,5,Low,Basic,9,6.8,1,Low,Gave away for reuse,Low,0.08
Karnataka,Urban,5,Middle,Intermediate,8,5.0,1,Medium,Sold to Kabadiwala/Scrap Dealer,Low,1.11
Haryana,Urban,4,Middle,Intermediate,8,4.1,1,Medium,Sold to Kabadiwala/Scrap Dealer,Medium,1.54
Maharashtra,Urban,8,Low,Basic,11,6.2,3,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Delhi,Urban,6,Low,Basic,6,6.1,1,Low,Formal E-Waste Collection,Low,0.0
Haryana,Rural,5,Low,Basic,5,9.1,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.44
Tamil Nadu,Urban,5,Middle,Basic,10,4.8,0,Medium,Formal E-Waste Collection,Low,2.26
Maharashtra,Urban,6,Middle,Intermediate,8,4.8,2,Medium,Sold to Kabadiwala/Scrap Dealer,Medium,0.35
Odisha,Rural,5,Middle,Basic,10,6.4,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,1.15
Haryana,Urban,4,Middle,Basic,9,3.8,0,Medium,Sold to Kabadiwala/Scrap Dealer,Low,3.26
Madhya Pradesh,Urban,4,Middle,Intermediate,11,5.3,1,Medium,Formal E-Waste Collection,Medium,1.69
Tamil Nadu,Urban,5,Low,Basic,6,6.5,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.57
Maharashtra,Urban,5,Upper-Middle,Advanced,21,3.0,1,Medium,Sold to Kabadiwala/Scrap Dealer,Medium,8.43
Punjab,Urban,7,Low,Basic,8,5.7,2,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Uttar Pradesh,Urban,2,High,Advanced,26,1.7,0,High,Sold to Kabadiwala/Scrap Dealer,Low,22.19
Madhya Pradesh,Urban,4,Middle,Basic,12,3.6,0,Medium,Sold to Kabadiwala/Scrap Dealer,Medium,4.2
Tamil Nadu,Urban,6,Middle,Intermediate,8,3.7,2,Medium,Stored Indefinitely,Medium,0.0
Madhya Pradesh,Urban,5,Low,Basic,6,6.9,0,Low,Thrown in General Trash,Low,0.59
Delhi,Urban,6,Middle,Intermediate,12,4.1,2,Medium,Sold to Kabadiwala/Scrap Dealer,Low,1.77
Bihar,Rural,5,Middle,Basic,5,6.3,0,Low,Thrown in General Trash,Low,0.57
Rajasthan,Rural,4,Middle,Basic,10,6.5,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.79
Tamil Nadu,Rural,4,Upper-Middle,Basic,15,4.5,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,1.89
Rajasthan,Urban,7,Low,Basic,6,6.7,2,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Maharashtra,Urban,7,Low,Basic,7,7.0,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Jharkhand,Rural,7,Low,Basic,4,6.5,2,Low,Thrown in General Trash,Low,0.0
Tamil Nadu,Rural,5,Middle,Basic,10,6.5,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.24
Gujarat,Urban,7,Low,Basic,10,7.0,2,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Andhra Pradesh,Rural,5,Middle,Basic,8,5.6,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.15
Bihar,Urban,6,Low,Basic,8,5.4,1,Low,Gave away for reuse,Low,0.13
Haryana,Urban,7,Low,Basic,9,6.3,0,Low,Thrown in General Trash,Low,1.01
Andhra Pradesh,Rural,4,Middle,Basic,4,5.6,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.48
Gujarat,Rural,6,Middle,Basic,11,5.4,2,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Gujarat,Urban,5,Low,Basic,6,6.0,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.62
Odisha,Urban,4,Middle,Basic,8,4.9,1,Medium,Sold to Kabadiwala/Scrap Dealer,Low,1.19
Rajasthan,Rural,3,Upper-Middle,Basic,12,4.1,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,2.12
Kerala,Urban,7,Low,Basic,9,6.0,2,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Uttar Pradesh,Urban,6,Low,Basic,6,6.6,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.57
Telangana,Urban,3,Upper-Middle,Intermediate,19,3.1,0,High,Stored Indefinitely,High,0.0
West Bengal,Rural,4,Middle,Basic,11,6.4,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.97
Gujarat,Rural,8,Low,Basic,5,9.0,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Uttar Pradesh,Urban,6,Middle,Intermediate,12,5.0,1,Medium,Sold to Kabadiwala/Scrap Dealer,Low,2.2
Gujarat,Urban,8,Low,Basic,5,7.1,3,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Karnataka,Rural,8,Low,Basic,4,9.3,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.23
Telangana,Urban,6,Middle,Intermediate,11,5.2,1,Medium,Sold to Kabadiwala/Scrap Dealer,Low,1.33
Uttar Pradesh,Urban,3,Upper-Middle,Intermediate,16,3.1,0,High,Sold to Kabadiwala/Scrap Dealer,Medium,8.66
Bihar,Urban,5,Middle,Intermediate,9,4.7,0,Medium,Formal E-Waste Collection,Low,2.45
Tamil Nadu,Urban,4,Middle,Basic,11,4.3,0,Medium,Sold to Kabadiwala/Scrap Dealer,Medium,2.88
Madhya Pradesh,Rural,6,Low,Basic,4,8.6,2,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Maharashtra,Urban,6,Middle,Intermediate,14,5.0,1,Medium,Sold to Kabadiwala/Scrap Dealer,Low,2.77
Madhya Pradesh,Rural,8,Low,Basic,4,9.4,2,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Punjab,Urban,6,Low,Basic,6,5.2,2,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Rajasthan,Urban,4,Middle,Intermediate,14,3.7,0,Medium,Thrown in General Trash,Low,4.51
Punjab,Urban,5,Low,Basic,10,7.6,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.91
Andhra Pradesh,Urban,8,Low,Basic,8,5.9,1,Low,Stored Indefinitely,Low,0.0
Andhra Pradesh,Urban,5,Middle,Basic,8,4.1,0,Medium,Stored Indefinitely,Medium,0.0
Maharashtra,Rural,5,Middle,Basic,4,6.8,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.44
Andhra Pradesh,Rural,4,Middle,Basic,10,5.4,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,1.39
Punjab,Urban,6,Middle,Intermediate,9,3.7,1,Medium,Stored Indefinitely,Low,0.0
Karnataka,Rural,4,Upper-Middle,Basic,8,4.3,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.41
Maharashtra,Urban,8,Low,Basic,5,7.3,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.44
Telangana,Rural,7,Low,Basic,4,8.9,2,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Karnataka,Rural,4,High,Basic,14,3.5,0,Medium,Sold to Kabadiwala/Scrap Dealer,Low,5.15
Telangana,Rural,4,Middle,Basic,7,6.2,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Karnataka,Urban,6,Low,Basic,6,6.4,1,Low,Thrown in General Trash,Low,0.0
Karnataka,Urban,4,Middle,Basic,15,4.9,1,Medium,Sold to Kabadiwala/Scrap Dealer,Low,2.32
Kerala,Urban,6,Middle,Intermediate,12,4.0,0,Medium,Gave away for reuse,Medium,2.82
Delhi,Urban,5,Middle,Basic,14,5.2,0,Medium,Thrown in General Trash,Low,2.75
Odisha,Rural,5,Middle,Basic,5,5.7,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.52
Delhi,Urban,5,Upper-Middle,Intermediate,14,3.7,0,High,Sold to Kabadiwala/Scrap Dealer,High,5.27
Uttar Pradesh,Rural,4,Middle,Basic,4,6.4,0,Low,Gave away for reuse,Low,0.34
Punjab,Rural,4,Middle,Basic,9,6.8,1,Low,Stored Indefinitely,Low,0.0
Rajasthan,Rural,4,Middle,Basic,7,5.2,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.7
Uttar Pradesh,Urban,5,Low,Basic,10,6.4,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.85
Tamil Nadu,Urban,4,Middle,Basic,8,4.5,0,Medium,Sold to Kabadiwala/Scrap Dealer,Low,1.94
Karnataka,Rural,4,Middle,Basic,12,6.0,1,Low,Stored Indefinitely,Low,0.0
Bihar,Rural,6,Low,Basic,5,8.6,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Tamil Nadu,Urban,6,Middle,Advanced,14,4.5,2,Medium,Sold to Kabadiwala/Scrap Dealer,Low,1.85
Kerala,Urban,6,Low,Basic,9,7.8,1,Low,Gave away for reuse,Low,0.0
Punjab,Urban,6,Middle,Basic,12,4.4,2,Medium,Sold to Kabadiwala/Scrap Dealer,Medium,1.8
Gujarat,Urban,5,Middle,Intermediate,14,5.5,1,Medium,Thrown in General Trash,Low,2.17
Odisha,Urban,8,Low,Basic,9,5.7,2,Low,Stored Indefinitely,Low,0.0
Delhi,Rural,8,Low,Basic,4,8.0,2,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Delhi,Urban,5,Upper-Middle,Intermediate,15,2.7,0,High,Sold to Kabadiwala/Scrap Dealer,Medium,10.81
Telangana,Rural,4,Middle,Basic,9,5.4,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.76
Andhra Pradesh,Urban,6,Middle,Intermediate,9,3.7,0,Medium,Formal E-Waste Collection,Medium,2.1
West Bengal,Rural,6,Middle,Basic,7,6.7,2,Low,Formal E-Waste Collection,Low,0.0
Rajasthan,Urban,4,Upper-Middle,Advanced,13,3.3,0,Medium,Sold to Kabadiwala/Scrap Dealer,Medium,3.93
Jharkhand,Rural,6,Middle,Basic,8,5.1,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.74
West Bengal,Rural,6,Middle,Basic,10,6.5,2,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Delhi,Urban,5,Low,Basic,9,5.5,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,1.06
Maharashtra,Rural,8,Low,Basic,4,6.9,3,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Madhya Pradesh,Rural,6,Low,Basic,5,7.9,2,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Punjab,Rural,2,High,Basic,19,4.2,0,Medium,Sold to Kabadiwala/Scrap Dealer,Low,6.67
Jharkhand,Urban,7,Low,Basic,5,7.0,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.5
Karnataka,Urban,3,Upper-Middle,Advanced,14,3.1,0,Medium,Gave away for reuse,High,6.35
Tamil Nadu,Rural,6,Middle,Basic,7,5.7,1,Low,Gave away for reuse,Low,0.02
Bihar,Urban,4,Middle,Intermediate,10,4.2,0,Medium,Sold to Kabadiwala/Scrap Dealer,Medium,2.59
Karnataka,Rural,6,Low,Basic,4,8.3,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Bihar,Rural,5,Low,Basic,4,8.6,1,Low,Thrown in General Trash,Low,0.0
Haryana,Urban,8,Low,Basic,11,6.8,1,Low,Formal E-Waste Collection,Low,0.34
Rajasthan,Rural,7,Low,Basic,5,9.4,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Rajasthan,Urban,5,Low,Basic,11,5.3,1,Low,Stored Indefinitely,Low,0.0
Tamil Nadu,Rural,7,Low,Basic,4,7.3,0,Low,Thrown in General Trash,Low,0.29
West Bengal,Urban,4,Upper-Middle,Intermediate,13,3.0,0,Medium,Sold to Kabadiwala/Scrap Dealer,Low,5.06
Kerala,Rural,6,Middle,Basic,7,5.8,2,Low,Stored Indefinitely,Low,0.0
Uttar Pradesh,Urban,6,Middle,Intermediate,14,3.7,0,Medium,Sold to Kabadiwala/Scrap Dealer,Low,4.56
Punjab,Urban,7,Low,Basic,6,6.6,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Punjab,Urban,2,High,Advanced,21,2.7,0,High,Gave away for reuse,Low,12.35
Madhya Pradesh,Urban,4,Upper-Middle,Advanced,16,3.2,1,High,Sold to Kabadiwala/Scrap Dealer,Medium,6.72
Gujarat,Rural,8,Low,Basic,4,9.4,3,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Andhra Pradesh,Rural,5,Middle,Basic,8,6.8,0,Low,Thrown in General Trash,Low,0.8
Maharashtra,Urban,3,Upper-Middle,Intermediate,12,3.2,0,High,Sold to Kabadiwala/Scrap Dealer,High,6.01
Andhra Pradesh,Urban,7,Low,Basic,8,6.6,2,Low,Thrown in General Trash,Low,0.0
Gujarat,Rural,6,Low,Basic,4,7.1,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.41
West Bengal,Urban,6,Low,Basic,6,7.7,0,Low,Gave away for reuse,Low,0.43
Karnataka,Rural,5,Middle,Basic,4,6.5,0,Low,Thrown in General Trash,Low,0.44
West Bengal,Urban,4,Upper-Middle,Intermediate,17,4.0,1,Medium,Sold to Kabadiwala/Scrap Dealer,Low,4.28
Jharkhand,Urban,8,Low,Basic,7,6.5,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.75
Bihar,Rural,7,Low,Basic,4,7.5,2,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Rajasthan,Urban,3,Upper-Middle,Intermediate,13,3.3,0,High,Sold to Kabadiwala/Scrap Dealer,Medium,6.96
Bihar,Urban,3,High,Advanced,30,2.3,0,High,Formal E-Waste Collection,High,19.71
Jharkhand,Urban,3,Upper-Middle,Advanced,17,3.8,0,Medium,Formal E-Waste Collection,Medium,5.84
Karnataka,Urban,2,High,Advanced,26,2.4,0,High,Formal E-Waste Collection,High,21.1
Andhra Pradesh,Rural,4,Upper-Middle,Basic,10,5.3,0,Medium,Stored Indefinitely,Low,0.0
Jharkhand,Rural,6,Low,Basic,4,6.9,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Odisha,Rural,7,Low,Basic,5,7.7,2,Low,Stored Indefinitely,Low,0.0
Andhra Pradesh,Urban,6,Middle,Intermediate,10,3.9,1,Medium,Sold to Kabadiwala/Scrap Dealer,Low,2.3
Bihar,Rural,8,Low,Basic,6,6.9,2,Low,Thrown in General Trash,Low,0.0
Andhra Pradesh,Rural,3,Upper-Middle,Basic,8,5.0,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,1.09
Punjab,Urban,6,Middle,Basic,13,4.3,1,Medium,Sold to Kabadiwala/Scrap Dealer,Low,3.16
Andhra Pradesh,Urban,6,Low,Basic,9,7.8,2,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Tamil Nadu,Rural,5,Upper-Middle,Basic,17,4.0,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,1.81
Telangana,Urban,4,Middle,Intermediate,14,5.0,0,Medium,Stored Indefinitely,Medium,0.0
West Bengal,Urban,5,Upper-Middle,Basic,13,3.9,1,Medium,Sold to Kabadiwala/Scrap Dealer,High,3.53
Punjab,Urban,7,Low,Basic,11,8.0,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.97
Andhra Pradesh,Urban,5,Middle,Advanced,9,4.9,0,Medium,Sold to Kabadiwala/Scrap Dealer,Low,2.16
Haryana,Rural,6,Middle,Basic,10,6.6,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.17
Haryana,Urban,8,Low,Basic,6,7.9,2,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Punjab,Urban,4,Middle,Advanced,13,4.3,0,Medium,Sold to Kabadiwala/Scrap Dealer,Low,3.42
Rajasthan,Rural,6,Middle,Basic,11,5.2,2,Low,Formal E-Waste Collection,Low,0.0
Maharashtra,Urban,6,Middle,Intermediate,13,3.5,2,Medium,Sold to Kabadiwala/Scrap Dealer,Low,3.25
Maharashtra,Rural,7,Low,Basic,4,8.5,2,Low,Thrown in General Trash,Low,0.0
Tamil Nadu,Urban,4,Middle,Intermediate,14,4.9,0,Medium,Thrown in General Trash,High,3.55
Telangana,Urban,4,Upper-Middle,Advanced,14,3.3,1,Medium,Sold to Kabadiwala/Scrap Dealer,High,4.11
Jharkhand,Rural,8,Low,Basic,5,8.6,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Rajasthan,Rural,7,Low,Basic,4,7.3,1,Low,Thrown in General Trash,Low,0.0
Kerala,Urban,4,Middle,Basic,13,5.3,1,Medium,Thrown in General Trash,Medium,1.95
Bihar,Urban,4,Middle,Intermediate,10,4.7,1,Medium,Sold to Kabadiwala/Scrap Dealer,Medium,1.38
Telangana,Rural,7,Low,Basic,8,7.1,2,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Kerala,Urban,3,Upper-Middle,Intermediate,19,2.5,0,High,Sold to Kabadiwala/Scrap Dealer,Medium,11.88
Karnataka,Rural,4,Middle,Basic,11,5.7,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,1.13
Karnataka,Urban,3,Upper-Middle,Intermediate,14,3.3,0,Medium,Gave away for reuse,Medium,6.22
Bihar,Urban,7,Low,Basic,7,6.3,2,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Rajasthan,Urban,8,Low,Basic,10,5.7,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.37
Karnataka,Urban,4,Middle,Intermediate,9,4.9,0,Medium,Thrown in General Trash,High,2.39
Maharashtra,Urban,4,Upper-Middle,Intermediate,19,4.0,0,Medium,Sold to Kabadiwala/Scrap Dealer,High,5.89
Gujarat,Rural,8,Low,Basic,4,8.9,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.25
Delhi,Urban,4,Middle,Intermediate,13,5.3,0,Medium,Gave away for reuse,Medium,3.45
Bihar,Urban,7,Low,Basic,7,7.1,2,Low,Gave away for reuse,Low,0.0
Gujarat,Urban,6,Middle,Intermediate,15,5.1,0,Medium,Sold to Kabadiwala/Scrap Dealer,Low,2.2
Maharashtra,Urban,5,Middle,Basic,12,3.9,1,Medium,Formal E-Waste Collection,Medium,2.46
Tamil Nadu,Urban,4,Upper-Middle,Advanced,17,4.0,0,High,Sold to Kabadiwala/Scrap Dealer,Low,7.88
Madhya Pradesh,Urban,5,Middle,Intermediate,10,5.2,1,Medium,Sold to Kabadiwala/Scrap Dealer,Low,1.16
Gujarat,Urban,6,Low,Basic,6,6.2,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Jharkhand,Rural,5,Low,Basic,5,6.9,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.47
Tamil Nadu,Rural,6,Middle,Basic,8,6.8,0,Low,Gave away for reuse,Low,0.76
Uttar Pradesh,Urban,3,Upper-Middle,Advanced,21,3.4,0,Medium,Stored Indefinitely,Low,0.0
Odisha,Rural,8,Low,Basic,4,8.1,1,Low,Formal E-Waste Collection,Low,0.0
Jharkhand,Rural,3,Upper-Middle,Basic,10,4.9,0,Low,Sold to Kabadiwala/Scrap Dealer,Low,1.15
Delhi,Urban,7,Low,Basic,7,6.2,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.0
Andhra Pradesh,Urban,3,Upper-Middle,Advanced,14,4.0,0,High,Sold to Kabadiwala/Scrap Dealer,Medium,6.49
Andhra Pradesh,Urban,4,Upper-Middle,Intermediate,18,3.5,0,Medium,Sold to Kabadiwala/Scrap Dealer,Medium,3.91
Kerala,Urban,6,Low,Basic,10,6.0,1,Low,Sold to Kabadiwala/Scrap Dealer,Low,0.31
Karnataka,Urban,5,Middle,Advanced,8,5.2,1,Medium,Sold to Kabadiwala/Scrap Dealer,Low,0.98
